,,,,,,
item,URL,quantity,price*(total) USD,,,
cherry-mx style switches,https://tinyurl.com/46ueewwa,82,33.74,,,
Diodes (1N5817),https://www.rapidonline.com/st-1n5817-schottky-diode-20v-1a-do41-47-2564,82,16.16,,PCB (+ship),33.23
330 ohm resistor,https://tinyurl.com/3mh5jma3,1,2.96,,total,145.25
4.7K ohm resistor (THT),https://tinyurl.com/2bpn6xam,4,6.06,,,
820K ohm resistor (THT),https://tinyurl.com/4xysbk3m,1,0.02,,,
2 Mohm resistor (THT),https://tinyurl.com/4fxpa99j,1,2.07,,,
Nice!Nano v2,https://shorturl.at/wlaR4,1,8.48,,,
EC11 rotary encoder,https://www.ebay.co.uk/itm/113261494197?var=413549335980,1,4.94,,,
TPO4056,https://www.ebay.co.uk/itm/405070463792?chn=ps&_ul=GB&mkevt=1&mkcid=28&google_free_listing_action=view_item,1,2.42,,,
LiPo 10000mah 3.7v (battery),https://tinyurl.com/yc5u3hex,1,8.36,,,
"OLED 0.91""",https://shorturl.at/Vc0Sg,1,5.25,,,
SS11D10 slide switch,https://shorturl.at/1174X,1,2.06,,,
usb-a dongle (wireless),https://shorturl.at/GAQIp,1,8.07,,,
SK6812MINI-E (RGB-LED),https://tinyurl.com/37m9v9hy,62,4.46,,,
470 uf capacitor (THT),https://www.rapidonline.com/panasonic-eca1vm471-470uf-20-35v-85-c-radial-aluminium-electrolytic-11-2172,1,0.44,,,
MT3608 DC to DC,https://tinyurl.com/52ezaaav,1,1.59,,,
kalih hotswap sockets,https://tinyurl.com/452x8dtk,82,4.94,,,
(Optional),,,,,,
O-rings,https://tinyurl.com/y44esxp9,82,5.38,,,
keycap foam pads,https://tinyurl.com/4kc52tvw,82,9.94,,,
foam gaskets,https://tinyurl.com/5hd465du,82,6.48,,,
